Study Hours,Sleep Hours,Attendance Rate,Social Media Hours,Exam Score
4.7,7.3,82.9,3.3,80.7
3.8,6.6,87.9,3.3,76.0
5.0,6.3,88.3,2.3,89.1
6.3,7.6,86.0,3.2,95.9
3.6,8.0,89.2,3.3,70.5
3.6,7.9,92.0,2.3,77.9
6.4,6.2,99.4,4.9,89.5
5.2,6.7,90.9,3.5,85.1
3.3,7.3,91.3,1.8,82.8
4.8,8.0,89.6,3.7,100.0
3.3,6.5,80.4,2.0,74.3
3.3,6.8,89.9,3.8,75.7
4.4,5.9,90.3,4.2,77.1
1.1,5.8,100.0,2.2,68.7
1.4,7.8,89.0,4.0,59.0
3.2,8.4,91.5,3.4,79.9
2.5,6.9,89.8,3.8,61.4
4.5,8.0,84.2,4.9,72.1
2.6,7.4,95.7,2.8,72.3
1.9,6.4,93.8,2.2,68.7
6.2,7.4,94.0,2.1,100.0
3.7,8.5,85.5,2.2,72.2
4.1,7.0,97.0,2.9,85.7
1.9,8.6,83.0,3.3,56.9
3.2,4.4,92.9,3.3,63.2
4.2,7.8,100.0,3.8,88.6
2.3,7.1,85.0,3.0,65.7
4.6,6.7,87.2,4.5,67.9
3.1,7.1,90.5,2.7,70.6
3.6,5.0,87.5,5.7,60.7
3.1,6.8,82.2,3.6,61.9
6.8,7.4,90.3,2.1,100.0
4.0,8.5,84.7,1.9,84.2
2.4,6.5,92.4,3.5,62.9
5.2,6.2,85.4,2.8,92.3
2.2,6.5,97.7,3.7,69.7
4.3,7.9,86.1,3.5,68.6
1.1,7.3,88.4,2.9,61.8
2.0,6.5,94.1,2.2,66.6
4.3,7.5,83.8,1.5,88.6
5.1,7.1,91.1,2.6,83.3
4.3,8.0,96.5,3.9,81.7
3.8,6.3,82.0,3.2,72.5
3.5,6.7,90.9,1.8,84.1
1.8,6.6,91.3,3.2,57.5
2.9,5.5,93.9,3.4,65.9
3.3,7.3,83.8,2.1,72.8
5.6,7.3,83.4,3.2,81.1
4.5,7.0,92.6,3.1,91.0
1.4,6.8,91.5,1.9,68.8
